v7	0.5*(Id(M4)-Id(M3))
Step Information: Iq=10n  (Run: 1/8)
-9.000000000000000e-001	3.599280e-005
-8.640000000000000e-001	3.319433e-005
-8.280000000000000e-001	3.046627e-005
-7.919999999999999e-001	2.781345e-005
-7.559999999999999e-001	2.524066e-005
-7.199999999999999e-001	2.275263e-005
-6.839999999999998e-001	2.035404e-005
-6.479999999999998e-001	1.804955e-005
-6.119999999999998e-001	1.584385e-005
-5.759999999999997e-001	1.374183e-005
-5.399999999999997e-001	1.174874e-005
-5.039999999999997e-001	9.870756e-006
-4.679999999999997e-001	8.115634e-006
-4.319999999999997e-001	6.493803e-006
-3.959999999999997e-001	5.019641e-006
-3.599999999999998e-001	3.712419e-006
-3.239999999999998e-001	2.595625e-006
-2.879999999999998e-001	1.692529e-006
-2.519999999999998e-001	1.016488e-006
-2.159999999999998e-001	5.586818e-007
-1.799999999999998e-001	2.826302e-007
-1.439999999999998e-001	1.341747e-007
-1.079999999999998e-001	6.134482e-008
-7.199999999999981e-002	2.785489e-008
-3.599999999999982e-002	1.373154e-008
1.804112415015879e-016	9.999998e-009
3.600000000000018e-002	1.453615e-008
7.200000000000018e-002	3.108216e-008
1.080000000000002e-001	7.158296e-008
1.440000000000002e-001	1.624030e-007
1.800000000000002e-001	3.532290e-007
2.160000000000002e-001	7.192023e-007
2.520000000000002e-001	1.341414e-006
2.880000000000001e-001	2.270753e-006
3.240000000000001e-001	3.506654e-006
3.600000000000001e-001	5.008233e-006
3.960000000000001e-001	6.720843e-006
4.320000000000001e-001	8.595721e-006
4.680000000000000e-001	1.059683e-005
5.040000000000000e-001	1.269980e-005
5.400000000000000e-001	1.488839e-005
5.760000000000001e-001	1.715122e-005
6.120000000000001e-001	1.947961e-005
6.480000000000001e-001	2.186625e-005
6.840000000000002e-001	2.430456e-005
7.200000000000002e-001	2.678838e-005
7.560000000000002e-001	2.931189e-005
7.920000000000003e-001	3.186954e-005
8.280000000000003e-001	3.445613e-005
8.640000000000003e-001	3.706678e-005
