v3	V(ss)
Step Information: Iss=100n  (Run: 1/5)
-4.000000000000000e-001	7.551276e-001
-3.990000000000000e-001	7.542934e-001
-3.980000000000000e-001	7.534592e-001
-3.970000000000000e-001	7.526250e-001
-3.960000000000000e-001	7.517908e-001
-3.950000000000000e-001	7.509567e-001
-3.940000000000000e-001	7.501226e-001
-3.930000000000000e-001	7.492886e-001
-3.920000000000000e-001	7.484545e-001
-3.910000000000000e-001	7.476205e-001
-3.900000000000000e-001	7.467865e-001
-3.890000000000000e-001	7.459525e-001
-3.880000000000000e-001	7.451186e-001
-3.870000000000000e-001	7.442846e-001
-3.860000000000000e-001	7.434508e-001
-3.850000000000000e-001	7.426169e-001
-3.840000000000000e-001	7.417830e-001
-3.830000000000000e-001	7.409492e-001
-3.820000000000000e-001	7.401154e-001
-3.810000000000000e-001	7.392817e-001
-3.800000000000000e-001	7.384479e-001
-3.790000000000000e-001	7.376142e-001
-3.780000000000000e-001	7.367805e-001
-3.770000000000000e-001	7.359468e-001
-3.760000000000000e-001	7.351132e-001
-3.750000000000000e-001	7.342796e-001
-3.740000000000000e-001	7.334460e-001
-3.730000000000000e-001	7.326124e-001
-3.720000000000000e-001	7.317789e-001
-3.710000000000000e-001	7.309454e-001
-3.700000000000000e-001	7.301120e-001
-3.690000000000000e-001	7.292785e-001
-3.680000000000000e-001	7.284451e-001
-3.670000000000000e-001	7.276117e-001
-3.660000000000000e-001	7.267783e-001
-3.650000000000000e-001	7.259449e-001
-3.640000000000000e-001	7.251116e-001
-3.630000000000000e-001	7.242783e-001
-3.620000000000000e-001	7.234451e-001
-3.610000000000000e-001	7.226118e-001
-3.600000000000000e-001	7.217786e-001
-3.590000000000000e-001	7.209454e-001
-3.580000000000000e-001	7.201122e-001
-3.570000000000000e-001	7.192791e-001
-3.560000000000000e-001	7.184460e-001
-3.550000000000000e-001	7.176129e-001
-3.540000000000000e-001	7.167798e-001
-3.530000000000000e-001	7.159468e-001
-3.520000000000000e-001	7.151138e-001
-3.510000000000000e-001	7.142808e-001
-3.500000000000000e-001	7.134479e-001
-3.490000000000000e-001	7.126149e-001
-3.480000000000000e-001	7.117820e-001
-3.470000000000000e-001	7.109491e-001
-3.460000000000000e-001	7.101163e-001
-3.450000000000000e-001	7.092835e-001
-3.440000000000000e-001	7.084507e-001
-3.430000000000000e-001	7.076179e-001
-3.420000000000000e-001	7.067852e-001
-3.410000000000000e-001	7.059525e-001
-3.400000000000000e-001	7.051198e-001
-3.390000000000000e-001	7.042871e-001
-3.380000000000000e-001	7.034545e-001
-3.370000000000000e-001	7.026219e-001
-3.360000000000000e-001	7.017893e-001
-3.350000000000000e-001	7.009568e-001
-3.340000000000000e-001	7.001242e-001
-3.330000000000000e-001	6.992917e-001
-3.320000000000000e-001	6.984593e-001
-3.310000000000000e-001	6.976268e-001
-3.300000000000000e-001	6.967944e-001
-3.290000000000000e-001	6.959620e-001
-3.280000000000000e-001	6.951296e-001
-3.270000000000000e-001	6.942973e-001
-3.260000000000000e-001	6.934650e-001
-3.250000000000000e-001	6.926327e-001
-3.240000000000000e-001	6.918005e-001
-3.230000000000000e-001	6.909683e-001
-3.220000000000000e-001	6.901361e-001
-3.210000000000000e-001	6.893039e-001
-3.200000000000000e-001	6.884717e-001
-3.190000000000000e-001	6.876396e-001
-3.180000000000000e-001	6.868075e-001
-3.170000000000000e-001	6.859755e-001
-3.160000000000000e-001	6.851434e-001
-3.150000000000000e-001	6.843114e-001
-3.140000000000000e-001	6.834794e-001
-3.129999999999999e-001	6.826475e-001
-3.119999999999999e-001	6.818156e-001
-3.109999999999999e-001	6.809837e-001
-3.099999999999999e-001	6.801518e-001
-3.089999999999999e-001	6.793200e-001
-3.079999999999999e-001	6.784881e-001
-3.069999999999999e-001	6.776564e-001
-3.059999999999999e-001	6.768246e-001
-3.049999999999999e-001	6.759929e-001
-3.039999999999999e-001	6.751612e-001
-3.029999999999999e-001	6.743295e-001
-3.019999999999999e-001	6.734979e-001
-3.009999999999999e-001	6.726663e-001
-2.999999999999999e-001	6.718346e-001
-2.989999999999999e-001	6.710031e-001
-2.979999999999999e-001	6.701716e-001
-2.969999999999999e-001	6.693401e-001
-2.959999999999999e-001	6.685086e-001
-2.949999999999999e-001	6.676772e-001
-2.939999999999999e-001	6.668457e-001
-2.929999999999999e-001	6.660143e-001
-2.919999999999999e-001	6.651829e-001
-2.909999999999999e-001	6.643516e-001
-2.899999999999999e-001	6.635203e-001
-2.889999999999999e-001	6.626890e-001
-2.879999999999999e-001	6.618578e-001
-2.869999999999999e-001	6.610266e-001
-2.859999999999999e-001	6.601954e-001
-2.849999999999999e-001	6.593642e-001
-2.839999999999999e-001	6.585331e-001
-2.829999999999999e-001	6.577020e-001
-2.819999999999999e-001	6.568709e-001
-2.809999999999999e-001	6.560398e-001
-2.799999999999999e-001	6.552088e-001
-2.789999999999999e-001	6.543778e-001
-2.779999999999999e-001	6.535469e-001
-2.769999999999999e-001	6.527159e-001
-2.759999999999999e-001	6.518850e-001
-2.749999999999999e-001	6.510541e-001
-2.739999999999999e-001	6.502233e-001
-2.729999999999999e-001	6.493925e-001
-2.719999999999999e-001	6.485617e-001
-2.709999999999999e-001	6.477309e-001
-2.699999999999999e-001	6.469002e-001
-2.689999999999999e-001	6.460695e-001
-2.679999999999999e-001	6.452388e-001
-2.669999999999999e-001	6.444082e-001
-2.659999999999999e-001	6.435775e-001
-2.649999999999999e-001	6.427469e-001
-2.639999999999999e-001	6.419164e-001
-2.629999999999999e-001	6.410859e-001
-2.619999999999999e-001	6.402553e-001
-2.609999999999999e-001	6.394249e-001
-2.599999999999999e-001	6.385944e-001
-2.589999999999999e-001	6.377640e-001
-2.579999999999999e-001	6.369336e-001
-2.569999999999999e-001	6.361033e-001
-2.559999999999999e-001	6.352730e-001
-2.549999999999999e-001	6.344427e-001
-2.539999999999999e-001	6.336124e-001
-2.529999999999999e-001	6.327822e-001
-2.519999999999999e-001	6.319519e-001
-2.509999999999999e-001	6.311218e-001
-2.499999999999999e-001	6.302916e-001
-2.489999999999999e-001	6.294615e-001
-2.479999999999999e-001	6.286314e-001
-2.469999999999999e-001	6.278014e-001
-2.459999999999999e-001	6.269714e-001
-2.449999999999999e-001	6.261414e-001
-2.439999999999999e-001	6.253114e-001
-2.429999999999999e-001	6.244814e-001
-2.419999999999999e-001	6.236516e-001
-2.409999999999999e-001	6.228217e-001
-2.399999999999999e-001	6.219918e-001
-2.389999999999999e-001	6.211620e-001
-2.379999999999999e-001	6.203322e-001
-2.369999999999999e-001	6.195024e-001
-2.359999999999999e-001	6.186727e-001
-2.349999999999999e-001	6.178430e-001
-2.339999999999999e-001	6.170134e-001
-2.329999999999999e-001	6.161838e-001
-2.319999999999999e-001	6.153541e-001
-2.309999999999999e-001	6.145245e-001
-2.299999999999999e-001	6.136950e-001
-2.289999999999999e-001	6.128655e-001
-2.279999999999999e-001	6.120360e-001
-2.269999999999999e-001	6.112066e-001
-2.259999999999999e-001	6.103771e-001
-2.249999999999999e-001	6.095478e-001
-2.239999999999999e-001	6.087184e-001
-2.229999999999999e-001	6.078891e-001
-2.219999999999999e-001	6.070598e-001
-2.209999999999999e-001	6.062306e-001
-2.199999999999999e-001	6.054013e-001
-2.189999999999999e-001	6.045721e-001
-2.179999999999999e-001	6.037430e-001
-2.169999999999999e-001	6.029138e-001
-2.159999999999999e-001	6.020847e-001
-2.149999999999999e-001	6.012556e-001
-2.139999999999999e-001	6.004266e-001
-2.129999999999999e-001	5.995976e-001
-2.119999999999999e-001	5.987686e-001
-2.109999999999999e-001	5.979396e-001
-2.099999999999999e-001	5.971107e-001
-2.089999999999999e-001	5.962818e-001
-2.079999999999999e-001	5.954530e-001
-2.069999999999999e-001	5.946242e-001
-2.059999999999999e-001	5.937954e-001
-2.049999999999999e-001	5.929666e-001
-2.039999999999999e-001	5.921379e-001
-2.029999999999999e-001	5.913092e-001
-2.019999999999999e-001	5.904806e-001
-2.009999999999999e-001	5.896519e-001
-1.999999999999998e-001	5.888234e-001
-1.989999999999998e-001	5.879948e-001
-1.979999999999998e-001	5.871663e-001
-1.969999999999998e-001	5.863378e-001
-1.959999999999998e-001	5.855094e-001
-1.949999999999998e-001	5.846809e-001
-1.939999999999998e-001	5.838525e-001
-1.929999999999998e-001	5.830242e-001
-1.919999999999998e-001	5.821959e-001
-1.909999999999998e-001	5.813676e-001
-1.899999999999998e-001	5.805393e-001
-1.889999999999998e-001	5.797111e-001
-1.879999999999998e-001	5.788829e-001
-1.869999999999998e-001	5.780548e-001
-1.859999999999998e-001	5.772267e-001
-1.849999999999998e-001	5.763986e-001
-1.839999999999998e-001	5.755706e-001
-1.829999999999998e-001	5.747426e-001
-1.819999999999998e-001	5.739146e-001
-1.809999999999998e-001	5.730867e-001
-1.799999999999998e-001	5.722588e-001
-1.789999999999998e-001	5.714309e-001
-1.779999999999998e-001	5.706031e-001
-1.769999999999998e-001	5.697753e-001
-1.759999999999998e-001	5.689476e-001
-1.749999999999998e-001	5.681199e-001
-1.739999999999998e-001	5.672923e-001
-1.729999999999998e-001	5.664647e-001
-1.719999999999998e-001	5.656371e-001
-1.709999999999998e-001	5.648095e-001
-1.699999999999998e-001	5.639820e-001
-1.689999999999998e-001	5.631546e-001
-1.679999999999998e-001	5.623271e-001
-1.669999999999998e-001	5.614998e-001
-1.659999999999998e-001	5.606725e-001
-1.649999999999998e-001	5.598451e-001
-1.639999999999998e-001	5.590180e-001
-1.629999999999998e-001	5.581908e-001
-1.619999999999998e-001	5.573636e-001
-1.609999999999998e-001	5.565365e-001
-1.599999999999998e-001	5.557094e-001
-1.589999999999998e-001	5.548825e-001
-1.579999999999998e-001	5.540555e-001
-1.569999999999998e-001	5.532286e-001
-1.559999999999998e-001	5.524017e-001
-1.549999999999998e-001	5.515749e-001
-1.539999999999998e-001	5.507482e-001
-1.529999999999998e-001	5.499215e-001
-1.519999999999998e-001	5.490949e-001
-1.509999999999998e-001	5.482683e-001
-1.499999999999998e-001	5.474418e-001
-1.489999999999998e-001	5.466153e-001
-1.479999999999998e-001	5.457889e-001
-1.469999999999998e-001	5.449626e-001
-1.459999999999998e-001	5.441363e-001
-1.449999999999998e-001	5.433102e-001
-1.439999999999998e-001	5.424840e-001
-1.429999999999998e-001	5.416580e-001
-1.419999999999998e-001	5.408320e-001
-1.409999999999998e-001	5.400061e-001
-1.399999999999998e-001	5.391803e-001
-1.389999999999998e-001	5.383545e-001
-1.379999999999998e-001	5.375289e-001
-1.369999999999998e-001	5.367033e-001
-1.359999999999998e-001	5.358778e-001
-1.349999999999998e-001	5.350524e-001
-1.339999999999998e-001	5.342271e-001
-1.329999999999998e-001	5.334020e-001
-1.319999999999998e-001	5.325769e-001
-1.309999999999998e-001	5.317519e-001
-1.299999999999998e-001	5.309271e-001
-1.289999999999998e-001	5.301023e-001
-1.279999999999998e-001	5.292777e-001
-1.269999999999998e-001	5.284532e-001
-1.259999999999998e-001	5.276289e-001
-1.249999999999998e-001	5.268047e-001
-1.239999999999998e-001	5.259806e-001
-1.229999999999998e-001	5.251567e-001
-1.219999999999998e-001	5.243329e-001
-1.209999999999998e-001	5.235094e-001
-1.199999999999998e-001	5.226859e-001
-1.189999999999998e-001	5.218627e-001
-1.179999999999998e-001	5.210397e-001
-1.169999999999998e-001	5.202169e-001
-1.159999999999998e-001	5.193943e-001
-1.149999999999998e-001	5.185719e-001
-1.139999999999998e-001	5.177497e-001
-1.129999999999998e-001	5.169278e-001
-1.119999999999998e-001	5.161061e-001
-1.109999999999998e-001	5.152847e-001
-1.099999999999998e-001	5.144636e-001
-1.089999999999998e-001	5.136428e-001
-1.079999999999998e-001	5.128223e-001
-1.069999999999998e-001	5.120021e-001
-1.059999999999998e-001	5.111822e-001
-1.049999999999998e-001	5.103628e-001
-1.039999999999998e-001	5.095437e-001
-1.029999999999998e-001	5.087250e-001
-1.019999999999998e-001	5.079067e-001
-1.009999999999998e-001	5.070888e-001
-9.999999999999976e-002	5.062715e-001
-9.899999999999976e-002	5.054546e-001
-9.799999999999975e-002	5.046383e-001
-9.699999999999975e-002	5.038224e-001
-9.599999999999975e-002	5.030072e-001
-9.499999999999975e-002	5.021926e-001
-9.399999999999975e-002	5.013785e-001
-9.299999999999975e-002	5.005652e-001
-9.199999999999975e-002	4.997526e-001
-9.099999999999975e-002	4.989406e-001
-8.999999999999975e-002	4.981295e-001
-8.899999999999975e-002	4.973193e-001
-8.799999999999975e-002	4.965098e-001
-8.699999999999974e-002	4.957013e-001
-8.599999999999974e-002	4.948938e-001
-8.499999999999974e-002	4.940872e-001
-8.399999999999974e-002	4.932818e-001
-8.299999999999974e-002	4.924774e-001
-8.199999999999974e-002	4.916743e-001
-8.099999999999974e-002	4.908724e-001
-7.999999999999974e-002	4.900718e-001
-7.899999999999974e-002	4.892726e-001
-7.799999999999974e-002	4.884749e-001
-7.699999999999974e-002	4.876787e-001
-7.599999999999973e-002	4.868841e-001
-7.499999999999973e-002	4.860912e-001
-7.399999999999973e-002	4.853001e-001
-7.299999999999973e-002	4.845109e-001
-7.199999999999973e-002	4.837236e-001
-7.099999999999973e-002	4.829385e-001
-6.999999999999973e-002	4.821556e-001
-6.899999999999973e-002	4.813749e-001
-6.799999999999973e-002	4.805967e-001
-6.699999999999973e-002	4.798210e-001
-6.599999999999973e-002	4.790480e-001
-6.499999999999973e-002	4.782778e-001
-6.399999999999972e-002	4.775106e-001
-6.299999999999972e-002	4.767465e-001
-6.199999999999972e-002	4.759856e-001
-6.099999999999972e-002	4.752282e-001
-5.999999999999972e-002	4.744744e-001
-5.899999999999972e-002	4.737243e-001
-5.799999999999972e-002	4.729781e-001
-5.699999999999972e-002	4.722362e-001
-5.599999999999972e-002	4.714985e-001
-5.499999999999972e-002	4.707654e-001
-5.399999999999972e-002	4.700370e-001
-5.299999999999971e-002	4.693136e-001
-5.199999999999971e-002	4.685954e-001
-5.099999999999971e-002	4.678826e-001
-4.999999999999971e-002	4.671755e-001
-4.899999999999971e-002	4.664744e-001
-4.799999999999971e-002	4.657795e-001
-4.699999999999971e-002	4.650910e-001
-4.599999999999971e-002	4.644094e-001
-4.499999999999971e-002	4.637347e-001
-4.399999999999971e-002	4.630674e-001
-4.299999999999971e-002	4.624077e-001
-4.199999999999970e-002	4.617560e-001
-4.099999999999970e-002	4.611125e-001
-3.999999999999970e-002	4.604777e-001
-3.899999999999970e-002	4.598518e-001
-3.799999999999970e-002	4.592351e-001
-3.699999999999970e-002	4.586281e-001
-3.599999999999970e-002	4.580311e-001
-3.499999999999970e-002	4.574444e-001
-3.399999999999970e-002	4.568684e-001
-3.299999999999970e-002	4.563035e-001
-3.199999999999970e-002	4.557500e-001
-3.099999999999969e-002	4.552084e-001
-2.999999999999969e-002	4.546790e-001
-2.899999999999969e-002	4.541622e-001
-2.799999999999969e-002	4.536583e-001
