v7	Id(M3)+Id(M4)
Step Information: Iq=10n  (Run: 1/8)
-9.000000000000000e-001	-7.198560e-005
-8.640000000000000e-001	-6.638865e-005
-8.280000000000000e-001	-6.093253e-005
-7.919999999999999e-001	-5.562690e-005
-7.559999999999999e-001	-5.048132e-005
-7.199999999999999e-001	-4.550526e-005
-6.839999999999998e-001	-4.070807e-005
-6.479999999999998e-001	-3.609909e-005
-6.119999999999998e-001	-3.168771e-005
-5.759999999999997e-001	-2.748365e-005
-5.399999999999997e-001	-2.349748e-005
-5.039999999999997e-001	-1.974151e-005
-4.679999999999997e-001	-1.623127e-005
-4.319999999999997e-001	-1.298760e-005
-3.959999999999997e-001	-1.003928e-005
-3.599999999999998e-001	-7.424835e-006
-3.239999999999998e-001	-5.191244e-006
-2.879999999999998e-001	-3.385047e-006
-2.519999999999998e-001	-2.032951e-006
-2.159999999999998e-001	-1.117298e-006
-1.799999999999998e-001	-5.650896e-007
-1.439999999999998e-001	-2.679023e-007
-1.079999999999998e-001	-1.215188e-007
-7.199999999999981e-002	-5.265987e-008
-3.599999999999982e-002	-1.959516e-008
1.804112415015879e-016	-1.776357e-015
3.600000000000018e-002	2.073956e-008
7.200000000000018e-002	5.874859e-008
1.080000000000002e-001	1.417823e-007
1.440000000000002e-001	3.242497e-007
1.800000000000002e-001	7.062349e-007
2.160000000000002e-001	1.438315e-006
2.520000000000002e-001	2.682791e-006
2.880000000000001e-001	4.541490e-006
3.240000000000001e-001	7.013301e-006
3.600000000000001e-001	1.001646e-005
3.960000000000001e-001	1.344168e-005
4.320000000000001e-001	1.719144e-005
4.680000000000000e-001	2.119366e-005
5.040000000000000e-001	2.539961e-005
5.400000000000000e-001	2.977677e-005
5.760000000000001e-001	3.430244e-005
6.120000000000001e-001	3.895922e-005
6.480000000000001e-001	4.373250e-005
6.840000000000002e-001	4.860912e-005
7.200000000000002e-001	5.357676e-005
7.560000000000002e-001	5.862377e-005
7.920000000000003e-001	6.373908e-005
8.280000000000003e-001	6.891226e-005
8.640000000000003e-001	7.413356e-005
9.000000000000000e-001	7.939391e-005
Step Information: Iq=100n  (Run: 2/8)
-9.000000000000000e-001	-8.803256e-005
-8.640000000000000e-001	-8.209905e-005
-8.280000000000000e-001	-7.627909e-005
-7.919999999999999e-001	-7.058275e-005
-7.559999999999999e-001	-6.501988e-005
-7.199999999999999e-001	-5.960024e-005
-6.839999999999998e-001	-5.433347e-005
-6.479999999999998e-001	-4.922912e-005
-6.119999999999998e-001	-4.429661e-005
-5.759999999999997e-001	-3.954531e-005
-5.399999999999997e-001	-3.498452e-005
-5.039999999999997e-001	-3.062371e-005
-4.679999999999997e-001	-2.647274e-005
-4.319999999999997e-001	-2.254251e-005
-3.959999999999997e-001	-1.884595e-005
-3.599999999999998e-001	-1.539971e-005
-3.239999999999998e-001	-1.222635e-005
-2.879999999999998e-001	-9.356935e-006
-2.519999999999998e-001	-6.832405e-006
-2.159999999999998e-001	-4.700750e-006
-1.799999999999998e-001	-3.005552e-006
-1.439999999999998e-001	-1.764060e-006
-1.079999999999998e-001	-9.433538e-007
-7.199999999999981e-002	-4.549271e-007
-3.599999999999982e-002	-1.793117e-007
1.804112415015879e-016	-1.421085e-014
3.600000000000018e-002	1.870950e-007
7.200000000000018e-002	4.949331e-007
1.080000000000002e-001	1.071235e-006
1.440000000000002e-001	2.089037e-006
1.800000000000002e-001	3.687379e-006
2.160000000000002e-001	5.910538e-006
2.520000000000002e-001	8.705141e-006
2.880000000000001e-001	1.196743e-005
3.240000000000001e-001	1.559208e-005
3.600000000000001e-001	1.949607e-005
3.960000000000001e-001	2.362171e-005
4.320000000000001e-001	2.793061e-005
4.680000000000000e-001	3.239664e-005
5.040000000000000e-001	3.700059e-005
5.400000000000000e-001	4.172691e-005
5.760000000000001e-001	4.656193e-005
6.120000000000001e-001	5.149304e-005
6.480000000000001e-001	5.650830e-005
6.840000000000002e-001	6.159641e-005
7.200000000000002e-001	6.674666e-005
7.560000000000002e-001	7.194902e-005
7.920000000000003e-001	7.719413e-005
8.280000000000003e-001	8.247332e-005
8.640000000000003e-001	8.777862e-005
9.000000000000000e-001	9.310273e-005
Step Information: Iq=200n  (Run: 3/8)
-9.000000000000000e-001	-9.328517e-005
-8.640000000000000e-001	-8.726101e-005
-8.280000000000000e-001	-8.134158e-005
-7.919999999999999e-001	-7.553701e-005
-7.559999999999999e-001	-6.985733e-005
-7.199999999999999e-001	-6.431239e-005
-6.839999999999998e-001	-5.891194e-005
-6.479999999999998e-001	-5.366560e-005
-6.119999999999998e-001	-4.858289e-005
-5.759999999999997e-001	-4.367324e-005
-5.399999999999997e-001	-3.894598e-005
-5.039999999999997e-001	-3.441047e-005
-4.679999999999997e-001	-3.007615e-005
-4.319999999999997e-001	-2.595302e-005
-3.959999999999997e-001	-2.205214e-005
-3.599999999999998e-001	-1.838684e-005
-3.239999999999998e-001	-1.497436e-005
-2.879999999999998e-001	-1.183820e-005
-2.519999999999998e-001	-9.010612e-006
-2.159999999999998e-001	-6.533577e-006
-1.799999999999998e-001	-4.454980e-006
-1.439999999999998e-001	-2.815403e-006
-1.079999999999998e-001	-1.624366e-006
-7.199999999999981e-002	-8.358664e-007
-3.599999999999982e-002	-3.432232e-007
1.804112415015879e-016	-4.263256e-014
